start	stop	nvar	fst
3775001	3800001	130	0.13350609308273736
3800001	3825001	360	0.05098013393671054
3825001	3850001	196	0.04634751887769873
3850001	3875001	196	0.04843418712623005
3875001	3900001	302	0.10100382611642124
3900001	3925001	367	0.17287976106928882
3925001	3950001	279	0.09067590570972368
3950001	3975001	218	0.11831723109126818
3975001	4000001	100	0.022700098788090425
4000001	4025001	137	0.12460890946365831
4025001	4050001	219	0.171202724794734
4050001	4075001	189	0.2390364116745864
4075001	4100001	301	0.1714728323454822
4100001	4125001	267	0.1450417916270655
4125001	4150001	165	0.1966497467631501
4150001	4175001	196	0.12665293257971932
4175001	4200001	148	0.10565594309816191
4200001	4225001	203	0.08665832387493572
4225001	4250001	161	0.09560283552358155
4250001	4275001	33	0.02107085298155556
4275001	4300001	55	0.02245275751251845
4300001	4325001	11	0.052796771662369645
4325001	4350001	0	
4350001	4375001	1	0.0032679738562093343
4375001	4400001	18	0.0023752218874169293
4400001	4425001	66	0.04626436058172419
4425001	4450001	17	0.11214496276736936
4450001	4475001	0	
4475001	4500001	5	0.005267788058973883
4500001	4525001	0	
4525001	4550001	0	
4550001	4575001	15	0.004601606026195697
4575001	4600001	0	
4600001	4625001	0	
4625001	4650001	6	-0.00920114283143241
4650001	4675001	0	
4675001	4700001	0	
4700001	4725001	0	
4725001	4750001	1	
4750001	4775001	0	
4775001	4800001	25	0.0502664897826188
4800001	4825001	188	0.11025573849781342
4825001	4850001	301	0.048652326611389206
4850001	4875001	321	0.10710595318716189
4875001	4900001	137	0.07541809216814654
4900001	4925001	104	0.08572585403280247
4925001	4950001	159	0.09103900132476939
4950001	4975001	0	
4975001	5000001	57	0.035229705107113186
5000001	5025001	153	0.12969828503680955
5025001	5050001	223	0.11999075331103189
5050001	5075001	319	0.09848883042464344
5075001	5100001	184	0.1275303038175174
5100001	5125001	342	0.2931697889901606
5125001	5150001	231	0.2654804733888821
5150001	5175001	334	0.15584013335360672
5175001	5200001	306	0.1064667289576105
5200001	5225001	333	0.10425191628392473
5225001	5250001	214	0.2466372793892495
5250001	5275001	338	0.04331318751619296
5275001	5300001	142	0.040130993276106114
5300001	5325001	361	0.08238989447043137
5325001	5350001	341	0.0937521093824186
5350001	5375001	362	0.10672636122355968
5375001	5400001	323	0.15608533965049798
5400001	5425001	304	0.12308269756477581
5425001	5450001	356	0.09188552631715009
5450001	5475001	350	0.06488189889752972
5475001	5500001	273	0.048912456472336725
5500001	5525001	370	0.1165181858155781
5525001	5550001	230	0.1315609072065792
5550001	5575001	151	0.09708052079010669
5575001	5600001	345	0.1569212651719902
5600001	5625001	382	0.13230483901140955
5625001	5650001	288	0.1282986912937962
5650001	5675001	398	0.09800867163661987
5675001	5700001	339	0.1268615910574074
5700001	5725001	364	0.17203438080930722
5725001	5750001	390	0.11487933448645088
5750001	5775001	328	0.1663647363898678
5775001	5800001	298	0.09965376087768105
5800001	5825001	343	0.11202680621722098
5825001	5850001	333	0.07855808482087265
5850001	5875001	161	0.06094008220976884
5875001	5900001	256	0.14799465362803174
5900001	5925001	273	0.1703334717033347
5925001	5950001	323	0.17684532490682228
5950001	5975001	310	0.1607069261918289
5975001	6000001	435	0.12507158007865735
6000001	6025001	334	0.06370152459437914
6025001	6050001	150	0.10661417941065136
6050001	6075001	305	0.17831242401472808
6075001	6100001	312	0.14568542089498185
6100001	6125001	228	0.09910535969574587
6125001	6150001	172	0.16138283085160735
6150001	6175001	254	0.08067129522916631
6175001	6200001	202	0.07910032213504138
6200001	6225001	338	0.1064217184492868
6225001	6250001	168	0.04865251000698278
6250001	6275001	397	0.08562970991152549
6275001	6300001	390	0.05373851418578928
6300001	6325001	279	0.07999502770744601
6325001	6350001	127	0.08356899474193998
6350001	6375001	130	0.13414128455821847
6375001	6400001	358	0.11195225628957102
6400001	6425001	350	0.17565707005322317
6425001	6450001	304	0.13030705134044157
6450001	6475001	146	0.19495218827770924
6475001	6500001	268	0.10246510243282941
6500001	6525001	239	0.09102953655799183
6525001	6550001	278	0.12420672970137228
6550001	6575001	384	0.15139896340389736
6575001	6600001	382	0.05503866339791331
6600001	6625001	340	0.0312202158008829
6625001	6650001	329	0.052150684171516574
6650001	6675001	426	0.09899549180210886
6675001	6700001	505	0.047681437729990006
6700001	6725001	455	0.046359266807289606
6725001	6750001	479	0.09051863301476394
6750001	6775001	456	0.07518103909800467
6775001	6800001	367	0.08673439344282464
6800001	6825001	362	0.08910393157094974
6825001	6850001	284	0.08814097288712291
6850001	6875001	257	0.03610392573431587
6875001	6900001	224	0.06574986533160113
6900001	6925001	321	0.09808272498424618
6925001	6950001	393	0.2541121059810492
6950001	6975001	330	0.26644032066012013
6975001	7000001	275	0.18327616962789978
7000001	7025001	138	0.13584824907173115
7025001	7050001	368	0.10706116846622736
7050001	7075001	296	0.06599451933139783
7075001	7100001	449	0.076183405326305
7100001	7125001	27	0.01130615416329707
7125001	7150001	214	0.10992810654256395
7150001	7175001	305	0.1253686288169047
7175001	7200001	0	
7200001	7225001	0	
7225001	7250001	10	0.06544671087607376
7250001	7275001	9	0.015439293217070951
7275001	7300001	0	
7300001	7325001	125	0.20327051351147735
7325001	7350001	248	0.11396125216401018
7350001	7375001	259	0.11257519899188635
7375001	7400001	0	
7400001	7425001	97	0.09092000030546307
7425001	7450001	20	0.020202020202020218
7450001	7475001	99	0.2335030930089129
7475001	7500001	154	0.15508208955867012
7500001	7525001	21	0.12227538543328016
7525001	7550001	178	0.04252249143698881
7550001	7575001	53	0.045698393240802965
7575001	7600001	266	0.06338872839778743
7600001	7625001	361	0.08087270902476021
7625001	7650001	522	0.06423584340713717
7650001	7675001	451	0.038529661614442004
7675001	7700001	53	0.15888722990258997
7700001	7725001	0	
7725001	7750001	0	
7750001	7775001	0	
7775001	7800001	0	
7800001	7825001	168	0.12760433710757682
7825001	7850001	432	0.06804839512194755
7850001	7875001	409	0.0804409711917873
7875001	7900001	348	0.07345256577200902
7900001	7925001	397	0.15099783271360978
7925001	7950001	253	0.07080061960248983
7950001	7975001	440	0.06534746856229022
7975001	8000001	33	0.040459146842125496
8000001	8025001	173	0.1565809091290405
8025001	8050001	469	0.15220906008874874
8050001	8075001	456	0.06865021179002441
8075001	8100001	306	0.10356184573040236
8100001	8125001	167	0.1440210589475496
8125001	8150001	125	0.1451752952290447
8150001	8175001	103	0.20588212264481356
8175001	8200001	300	0.09286264651912976
8200001	8225001	458	0.09901916374408284
8225001	8250001	418	0.10589280911522989
8250001	8275001	77	0.23496521738851758
8275001	8300001	486	0.11216828669035522
8300001	8325001	532	0.06758458007329958
8325001	8350001	428	0.05576204251198544
8350001	8375001	388	0.12528153833828026
8375001	8400001	245	0.07219675555226567
8400001	8425001	384	0.05815634746116497
8425001	8450001	329	0.0712356300846132
8450001	8475001	631	0.08260322053425503
8475001	8500001	436	0.13984605810394962
8500001	8525001	493	0.07946965337091438
8525001	8550001	761	0.08494473292707881
8550001	8575001	395	0.08719790601171613
8575001	8600001	352	0.2027001454384153
8600001	8625001	467	0.17538807024505965
8625001	8650001	381	0.10800018746221834
8650001	8675001	429	0.13413176021440026
8675001	8700001	401	0.053874885233344064
8700001	8725001	490	0.07623188429548453
8725001	8750001	350	0.0836915931841717
8750001	8775001	463	0.052570946792313854
8775001	8800001	286	0.12843378075802203
8800001	8825001	381	0.10179596128384645
8825001	8850001	465	0.09633559684700799
8850001	8875001	504	0.059930930376516325
8875001	8900001	147	0.03842431516721614
8900001	8925001	324	0.0645587228667967
8925001	8950001	217	0.12502209572183712
8950001	8975001	151	0.0638530701887733
8975001	9000001	422	0.07542106592548774
9000001	9025001	426	0.1488448608826264
9025001	9050001	403	0.12326343148945128
9050001	9075001	490	0.11787574262488394
9075001	9100001	28	0.07976390147118922
9100001	9125001	164	0.09800199519825688
9125001	9150001	370	0.08669848198810641
9150001	9175001	363	0.15820171614220582
9175001	9200001	225	0.401017992344072
9200001	9225001	25	0.056565656565656514
9225001	9250001	28	0.09179514442672337
9250001	9275001	192	0.17815587353566995
9275001	9300001	260	0.12151286979708799
9300001	9325001	451	0.19661073522815464
9325001	9350001	564	0.23616622819486002
9350001	9375001	599	0.23280720236357863
9375001	9400001	399	0.3599294618927191
9400001	9425001	142	0.14406767972905754
9425001	9450001	10	0.34484797080216933
9450001	9475001	621	0.17383952942919434
9475001	9500001	303	0.18340786677029458
9500001	9525001	159	0.43737053270521836
9525001	9550001	233	0.30383993259443803
9550001	9575001	169	0.14972113451888075
9575001	9600001	104	0.047463347351726366
9600001	9625001	394	0.29016747679213417
9625001	9650001	452	0.33137190436536956
9650001	9675001	451	0.4023554289614153
9675001	9700001	322	0.5065090194053902
9700001	9725001	486	0.20875803924723152
9725001	9750001	439	0.2195900277917951
9750001	9775001	158	0.20694757259126056
9775001	9800001	443	0.20306952699916522
9800001	9825001	415	0.23759560138238126
9825001	9850001	264	0.11067013931952539
9850001	9875001	119	0.09970239687120909
9875001	9900001	193	0.08592380580222657
9900001	9925001	5	0.03591470258136933
9925001	9950001	0	
9950001	9975001	0	
9975001	10000001	0	
10000001	10025001	187	0.14951442250742808
10025001	10050001	591	0.1712305061380917
10050001	10075001	535	0.10383568475205841
10075001	10100001	553	0.1122113057710078
10100001	10125001	214	0.0491424509019817
10125001	10150001	0	
10150001	10175001	5	0.017316017316017326
10175001	10200001	591	0.2048446475207049
10200001	10225001	678	0.1136151081282422
10225001	10250001	634	0.4088650974487856
10250001	10275001	155	0.4530194950422367
10275001	10300001	489	0.4105219262451967
10300001	10325001	276	0.1240527241665939
10325001	10350001	363	0.16221650180227098
10350001	10375001	402	0.19331496901988623
10375001	10400001	443	0.17845354680659326
10400001	10425001	350	0.3582116988157257
10425001	10450001	694	0.24923003448225534
10450001	10475001	631	0.18854166223326482
10475001	10500001	632	0.19834254968724133
10500001	10525001	389	0.3294813507716961
10525001	10550001	550	0.1848503611774187
10550001	10575001	426	0.11600157312391889
10575001	10600001	396	0.10268807695214303
10600001	10625001	496	0.12318501148655135
10625001	10650001	504	0.13817320672159383
10650001	10675001	466	0.11326111427172567
10675001	10700001	426	0.08002830265744003
10700001	10725001	491	0.1400823673212987
10725001	10750001	359	0.20190063034378444
10750001	10775001	442	0.17699921473425778
10775001	10800001	550	0.1883256120602303
10800001	10825001	235	0.3715190204663543
10825001	10850001	330	0.33659381990164916
10850001	10875001	178	0.3746847279124989
10875001	10900001	423	0.41846187825196096
10900001	10925001	216	0.44209511830388526
10925001	10950001	232	0.34159561602672955
10950001	10975001	467	0.29886406121944087
10975001	11000001	329	0.21889433003525982
11000001	11025001	415	0.24009432832048824
11025001	11050001	291	0.17346386571383263
11050001	11075001	482	0.22422244169347613
11075001	11100001	515	0.31455223314329644
11100001	11125001	456	0.2392419606576491
11125001	11150001	432	0.3662253456611356
11150001	11175001	18	0.8107744107744108
11175001	11200001	53	0.5440249950474874
11200001	11225001	218	0.46539953549693985
11225001	11250001	170	0.33210486177969645
11250001	11275001	462	0.2291898115318552
11275001	11300001	184	0.2968211220631699
11300001	11325001	596	0.25473647400089067
11325001	11350001	595	0.19422255113129705
11350001	11375001	633	0.10352181968448575
11375001	11400001	666	0.14004483611415433
11400001	11425001	699	0.10125959808625419
11425001	11450001	331	0.12345484860269428
11450001	11475001	478	0.2038303722935545
11475001	11500001	325	0.14759408430294507
11500001	11525001	215	0.08904196255250338
11525001	11550001	430	0.26345782134895296
11550001	11575001	11	0.013468013468013438
11575001	11600001	222	0.5647016335763868
11600001	11625001	57	0.2663662725744578
11625001	11650001	392	0.4052077337803901
11650001	11675001	653	0.27466884872164565
11675001	11700001	434	0.23931218232152057
11700001	11725001	398	0.13147744123172264
11725001	11750001	632	0.19483042650771218
11750001	11775001	587	0.11760965216688524
11775001	11800001	814	0.13726715077982718
11800001	11825001	786	0.0836394856318864
11825001	11850001	825	0.12074674483156454
11850001	11875001	638	0.10152556938290731
11875001	11900001	491	0.07823648564389304
11900001	11925001	454	0.13249656078889718
11925001	11950001	485	0.13406741480647313
11950001	11975001	558	0.10680948909484529
11975001	12000001	694	0.17546218298333874
12000001	12025001	476	0.23782211746582618
12025001	12050001	493	0.14716317702954845
12050001	12075001	595	0.12958293751500002
12075001	12100001	436	0.12475568349668031
12100001	12125001	529	0.05780923411786545
12125001	12150001	487	0.1409060320281029
12150001	12175001	551	0.10383314181614571
12175001	12200001	603	0.1075403268618527
12200001	12225001	577	0.10306534404750521
12225001	12250001	642	0.1204814365323524
12250001	12275001	413	0.10291550667406084
12275001	12300001	303	0.1109367193435756
12300001	12325001	541	0.054234218261397064
12325001	12350001	334	0.06202462830176889
12350001	12375001	381	0.11633440036804606
12375001	12400001	558	0.09774706835314272
12400001	12425001	548	0.0732477890093282
12425001	12450001	673	0.04349099971190801
12450001	12475001	613	0.03382619119717978
12475001	12500001	561	0.04522770635662255
12500001	12525001	830	0.027661205837603092
12525001	12550001	942	0.03137240275843082
12550001	12575001	950	0.054733523581553555
12575001	12600001	792	0.05584231390528695
12600001	12625001	681	0.08758677541282361
12625001	12650001	225	0.07193511499658792
12650001	12675001	550	0.053602613963807444
12675001	12700001	617	0.02873115696624543
12700001	12725001	683	0.04702199476947768
12725001	12750001	749	0.032543723603264726
12750001	12775001	579	0.04680077461254626
12775001	12800001	622	0.06970115121243335
12800001	12825001	786	0.038780715086773665
12825001	12850001	235	0.021252424601280222
12850001	12875001	731	0.04115710522124013
12875001	12900001	677	0.04623333796331811
12900001	12925001	115	0.09918521072635168
12925001	12950001	457	0.03170703965554422
12950001	12975001	553	0.0815519396750698
12975001	13000001	555	0.20741954722981473
13000001	13025001	602	0.19270993836173791
13025001	13050001	649	0.09835524507817772
13050001	13075001	655	0.10922213284570086
13075001	13100001	665	0.09104530332604242
13100001	13125001	597	0.07463478973272804
13125001	13150001	452	0.05526763874898865
13150001	13175001	658	0.05623213003748064
13175001	13200001	434	0.08515565090309793
13200001	13225001	662	0.06113668414426683
13225001	13250001	636	0.04717752830614685
13250001	13275001	660	0.08162393570443026
13275001	13300001	614	0.040842638649221656
13300001	13325001	941	0.05441892186366851
13325001	13350001	730	0.07564926656897211
13350001	13375001	606	0.048137731431401105
13375001	13400001	718	0.06116848345571951
13400001	13425001	847	0.12822141105433485
13425001	13450001	634	0.08739801043978666
13450001	13475001	850	0.040181308974902366
13475001	13500001	685	0.05873431552133446
13500001	13525001	534	0.021337356631651743
13525001	13550001	558	0.04977968980071719
13550001	13575001	412	0.01869033570802623
13575001	13600001	719	0.0795249466734797
13600001	13625001	629	0.172067531093085
13625001	13650001	797	0.08874580246699844
13650001	13675001	1035	0.039148195631026214
13675001	13700001	508	0.053588526576845465
13700001	13725001	107	0.03962012237296219
13725001	13750001	132	0.04382388083997731
13750001	13775001	101	0.051802649064515545
13775001	13800001	583	0.04482256204446303
13800001	13825001	726	0.054674758781926236
13825001	13850001	385	0.04606561787249917
13850001	13875001	46	0.02376364804110471
13875001	13900001	0	
13900001	13925001	0	
13925001	13950001	112	0.06594566555647202
13950001	13975001	409	0.058053295365428574
13975001	14000001	639	0.09378729186145461
14000001	14025001	782	0.05008797925493224
14025001	14050001	808	0.04102991347541893
14050001	14075001	873	0.058602200406242685
14075001	14100001	767	0.04345538102243357
14100001	14125001	839	0.05138680956103932
14125001	14150001	785	0.054925339809412686
14150001	14175001	1038	0.04780904841598967
14175001	14200001	981	0.04181462803782761
14200001	14225001	981	0.03414241489304853
14225001	14250001	923	0.034896880612310374
14250001	14275001	739	0.06086148128243818
14275001	14300001	806	0.07982655796527353
14300001	14325001	709	0.05258133307717017
14325001	14350001	649	0.061263496149507185
14350001	14375001	717	0.08330788294774774
14375001	14400001	699	0.07529887609541125
14400001	14425001	552	0.11442303417228368
14425001	14450001	438	0.24505622050896134
14450001	14475001	515	0.16014399624837178
14475001	14500001	417	0.11578394050837511
14500001	14525001	662	0.08859220873808789
14525001	14550001	165	0.2106479206139919
14550001	14575001	331	0.21644931133049153
14575001	14600001	562	0.13272828977194556
14600001	14625001	118	0.2255570504641117
14625001	14650001	777	0.0885519769903743
14650001	14675001	711	0.0926251034266419
14675001	14700001	950	0.0927780919209141
14700001	14725001	975	0.055665261017924815
14725001	14750001	903	0.07006669285840353
14750001	14775001	725	0.04492664362292644
14775001	14800001	973	0.09465593342292443
14800001	14825001	147	0.08886687913960566
14825001	14850001	641	0.12018988455832268
14850001	14875001	837	0.15162334684660747
14875001	14900001	983	0.08589955417908893
14900001	14925001	989	0.11995302755009532
14925001	14950001	674	0.0574023420090607
14950001	14975001	795	0.07379135707494942
14975001	15000001	831	0.09136237572007049
15000001	15025001	1021	0.11682075853139937
15025001	15050001	997	0.07803385818769343
15050001	15075001	634	0.09784341028903656
15075001	15100001	681	0.0839020242373251
15100001	15125001	962	0.17353386414013033
15125001	15150001	877	0.10223023583392701
15150001	15175001	352	0.07383676227311912
15175001	15200001	1079	0.08918411456482525
15200001	15225001	662	0.14319936213846315
15225001	15250001	982	0.13914353696245416
15250001	15275001	598	0.07428741280083373
15275001	15300001	369	0.1663163660043535
15300001	15325001	849	0.07048757626559292
15325001	15350001	416	0.0413780029641885
15350001	15375001	1094	0.08926060185821827
15375001	15400001	888	0.14367856261754963
15400001	15425001	1138	0.09136413228821812
15425001	15450001	901	0.06186148794363556
15450001	15475001	769	0.040961813757156476
15475001	15500001	234	0.17664224882377463
15500001	15525001	292	0.05634016462530837
15525001	15550001	1005	0.03883160491504633
15550001	15575001	119	0.08605401666584814
15575001	15600001	104	0.04385469602860909
15600001	15625001	0	
15625001	15650001	365	0.0261674097153007
15650001	15675001	465	0.06456466353007956
15675001	15700001	937	0.14459085428974108
15700001	15725001	239	0.08399679539197366
15725001	15750001	644	0.040007620294798964
15750001	15775001	739	0.040530994942138895
15775001	15800001	511	0.05993051238024174
15800001	15825001	857	0.04884239460933515
15825001	15850001	660	0.10339834305694473
15850001	15875001	822	0.14737647660156353
15875001	15900001	476	0.08478998356665421
15900001	15925001	171	0.11508631342051437
15925001	15950001	95	0.05982990430333114
15950001	15975001	313	0.053645245416169676
15975001	16000001	219	0.07896615903544774
16000001	16025001	397	0.0736831670724724
16025001	16050001	589	0.06664733941259889
16050001	16075001	176	0.07950676155604892
16075001	16100001	415	0.05934348316549092
16100001	16125001	160	0.08862276264862246
16125001	16150001	214	0.050611108014541474
16150001	16175001	35	0.022920685515885945
16175001	16200001	5	0.01548447696955682
16200001	16225001	0	
16225001	16250001	507	0.03455078015670557
16250001	16275001	437	0.03245669995594513
16275001	16300001	494	0.1026126879038013
16300001	16325001	713	0.032827192460014594
16325001	16350001	878	0.06927603770115462
16350001	16375001	791	0.0781766417432576
16375001	16400001	1052	0.04824230734889814
16400001	16425001	1127	0.06599941610396319
16425001	16450001	746	0.043785124734881005
16450001	16475001	781	0.04319459832209345
16475001	16500001	647	0.029890305979776474
16500001	16525001	745	0.05712788455416641
16525001	16550001	730	0.048695646086323346
16550001	16575001	922	0.04365847966636058
16575001	16600001	732	0.047684582593460555
16600001	16625001	1042	0.05417070930804545
16625001	16650001	1117	0.10448782047250746
16650001	16675001	684	0.19294858439979792
16675001	16700001	1004	0.039017323839383694
16700001	16725001	1176	0.04713148595137147
16725001	16750001	897	0.03922569148662772
16750001	16775001	902	0.06603617722082314
16775001	16800001	1002	0.04875338695966777
16800001	16825001	1003	0.0871585457489515
16825001	16850001	1058	0.07169923223829794
16850001	16875001	770	0.0984789362591785
16875001	16900001	1011	0.07301967783464297
16900001	16925001	1083	0.053336212182236664
16925001	16950001	820	0.03665745238616701
16950001	16975001	948	0.023852123025676745
16975001	17000001	1059	0.02311340436939564
17000001	17025001	710	0.03650076003102813
17025001	17050001	1106	0.037432009079096294
17050001	17075001	839	0.04515260373144458
17075001	17100001	890	0.07815857514622819
17100001	17125001	919	0.07605808660816488
17125001	17150001	894	0.08680209516264652
17150001	17175001	770	0.05253005249386998
17175001	17200001	701	0.03267191850701365
17200001	17225001	864	0.047066384994665915
17225001	17250001	1012	0.03202156996446579
17250001	17275001	1163	0.06143986631372938
17275001	17300001	1153	0.04204474772041038
17300001	17325001	930	0.04724727856019433
17325001	17350001	777	0.0377110260060773
17350001	17375001	933	0.03797108330297753
17375001	17400001	958	0.05827713749159703
17400001	17425001	778	0.029882210055776567
17425001	17450001	667	0.03363663795323334
17450001	17475001	802	0.08926725698059278
17475001	17500001	732	0.12236367181564486
17500001	17525001	659	0.20074140678956842
17525001	17550001	836	0.07697866327146514
17550001	17575001	875	0.12053302264112012
17575001	17600001	970	0.15213187934950523
17600001	17625001	775	0.19259137982638466
17625001	17650001	752	0.16067382476414016
17650001	17675001	800	0.07632912036739428
17675001	17700001	625	0.07236682959994203
17700001	17725001	312	0.036986583685633165
17725001	17750001	1012	0.03260438727335155
17750001	17775001	1000	0.022909553903962508
17775001	17800001	595	0.05515511451274076
17800001	17825001	800	0.031120827899648533
17825001	17850001	535	0.034522955704933175
17850001	17875001	435	0.04623710758680083
17875001	17900001	578	0.05519667194364919
17900001	17925001	320	0.077289363574492
17925001	17950001	209	0.06977404740601881
17950001	17975001	329	0.07528316721293672
17975001	18000001	270	0.09994873493425568
18000001	18025001	942	0.05770838383827811
18025001	18050001	1041	0.038495761635580605
18050001	18075001	897	0.08081456940855931
18075001	18100001	840	0.04747995103345066
18100001	18125001	713	0.042818215205705674
18125001	18150001	705	0.03419264473439867
18150001	18175001	640	0.027972784919452987
18175001	18200001	662	0.024904029240673187
18200001	18225001	808	0.02757152675416725
18225001	18250001	712	0.04846026383304084
18250001	18275001	682	0.04150452276672979
18275001	18300001	794	0.04199788386295469
18300001	18325001	879	0.04752988915709361
18325001	18350001	894	0.041641025358306424
18350001	18375001	1030	0.0465356728792393
18375001	18400001	987	0.056748799839219266
18400001	18425001	1027	0.03495784400405267
18425001	18450001	1198	0.06503753968362881
18450001	18475001	948	0.04058784841118708
18475001	18500001	1146	0.04028123995554785
18500001	18525001	1139	0.047068975752383335
18525001	18550001	1235	0.03216189094609521
18550001	18575001	954	0.01630562407958233
18575001	18600001	1099	0.028483653842928912
18600001	18625001	1203	0.031548398393571334
18625001	18650001	694	0.04686943475402713
18650001	18675001	1001	0.0383907916710108
18675001	18700001	818	0.027866664901184498
18700001	18725001	1045	0.034923071079509184
18725001	18750001	954	0.0594821863689888
18750001	18775001	1022	0.03519118812401295
18775001	18800001	556	0.01963198515941613
18800001	18825001	988	0.025602283144479338
18825001	18850001	966	0.02365801943726718
18850001	18875001	834	0.0269730973734295
18875001	18900001	656	0.02489739608583814
